commit	date	subject
1ba275c2b7dc978b7f3cc7e013ef52e388051acb	2026-08-03	test(contracts): 清理引用不存在特性/夹具不匹配的失效测试
bfab8ebcae56ffe8e5aa31bf8e234cefda4eaa7b	2026-08-03	refactor(tests): 合并重复测试 helper 到 tests/utils.py 共享工具
81fd9849c317493023c161df10abcb381e7bfd37	2026-08-03	test(cache): 新增共享 build_cache_context helper
c1ffc039a81308faec76b9998a2a724bdb6bb7c5	2026-08-03	docs(plugins): add rich agent_doc narratives to peaks/records/filtering core plugins
bfa3bbe5fdff6d6e4370df74ca5fdcf5391455ea	2026-08-03	feat(docs): auto-derive plugin overview/workflow and tiered doc badges
7c7306ddc46d46fbfa72f47d784450fcc11ff6fa	2026-08-03	docs: fill real physical units for plugin output dtype fields in dtype_field_notes.yaml
07431cd75f6b49aa1aba4f383d28f833f977fa91	2026-08-03	fix(events): keep s1_time/s2_time in ps; fill real field units
25eff896de523a95522a46b785659c669be0d2e9	2026-08-03	docs(hit_merged): refine workflow_steps with bold titles
4bc234155ae83ba9205b3a4d8e866b578d297b04	2026-08-03	feat(docs): plugin internal-process mermaid flowchart
4fe52e5fbfeb007fc30225ed277278f20d54eeb5	2026-08-03	style(docs): naturalize hit_merged flowchart wording + polish mermaid display
abd126e1d81581f75c1d4d6d5882ad41b5eb8851	2026-08-03	fix(docs): make lineage wire stroke width scale with zoom
cb3623919c3d4c598b1d8c4f6d290f145252c10b	2026-08-04	chore: enforce PR commit descriptions
04001a87f373431899419f6ed328b036634824d8	2026-08-04	style(docs): unify local lineage graph colors to site green theme
5113edc0f18db528182b29d06c2e249101445382	2026-08-04	fix(docs): use orthogonal polyline edges in local lineage graphs
2fc4d7bd11be558c513ff7708589bda494680040	2026-08-04	fix(docs): quote hit_merged flowchart decision node label
92f3365ff106e3bc7966f9bafe76749575172810	2026-08-04	refactor(docs): dedupe plugin search index entries
a0b1fa58b5c71fffda992d936a32594ec244548a	2026-08-04	feat: add PDF figure export utility
253d1c6a700cc970bc10d1e3fa78e63b054f706c	2026-08-04	feat: add energy_reconstruction plugin (structure placeholder)
98c5df71e8b4bb186b5331fad5dea91c0177c3b8	2026-08-04	fix(execution): cascade-invalidate downstream lineage caches on recompute
bf6b0eeaeca75554febbba3fd6dceaa8bb6de41f	2026-08-04	feat(docs): add plugin kind labels and click/hover previews to lineage graph
b9fcfb2e118cf03db28999dcd9b105e66706698a	2026-08-04	docs(plugins): regenerate auto plugin reference pages
036b6c671d1c6bfd81e6142a2b884fab934c6cc4	2026-08-04	perf(context): reuse thread pool across layers and shorten _data_lock
abeb321bcbe0ce07345c74f0075b68544c8fd43d	2026-08-04	docs(architecture): add plugin cache architecture document
6eed9c87883fec2ffe7e71bda464dcd1c58906af	2026-08-04	docs(site): add plugin cache architecture page to HTML site
f2ca9e725b2f87388ec9a89f0a45fff251363f39	2026-08-04	refactor(plugins): 插件 skill 化重构 Phase 0-3 — shared 库、registry、hit/peaklet 家族迁移 bundle
427c9c973f69caefe93aaa79f45a5df0f9e35a92	2026-08-04	refactor(plugins): Phase 4a hit 家族迁移 bundle（hit/hit_threshold/hit_grouped/hit_merged_features）
7cdd3721b25ea8a23cd3624e786dde392e9b63d1	2026-08-04	refactor(plugins): Phase 4b records/masks/events 迁移 bundle
79591b00273805bd8feb4c2cd59b451d4a043ada	2026-08-04	refactor(plugins): Phase 4c 单插件模块迁移 bundle + RawFileNamesPlugin 双副本合并
35422c8031b12fc8e07e2e5d0af116ee870cf2a6	2026-08-04	Merge branch 'worktree-agent-ae99a144' into develop
859c543186bd08ed60e80a456c2f36598d42a460	2026-08-04	Merge branch 'worktree-agent-acc93a09' into develop
3e27dfc5c1e860b3b85bc62fb6925240f98ee4f4	2026-08-04	fix(plugins): test_records_veto_mask 引用 4a 迁移后的 test_hit_threshold 模块
a91c191d0208a76ecc79c0fca4599f7d800cd650	2026-08-04	docs(plugins): 重新生成插件文档（per-plugin bundle module 路径）+ CI/Makefile/package-data 适配
2c239ebd0f5802ffbbd5aa4c9ec6abe065b6d37c	2026-08-04	docs(preview): 更新插件重构 HTML 预览反映完成状态
958409c64d11aa5c65c352b30a2dede4cdb72398	2026-08-05	refactor(context): 移除时间域索引管理公开 API 并清理引擎死代码
04cc0e2537175a5e31c2b184cd74142528f8b07a	2026-08-05	docs: add plugin bundle guide to site
27620b9728e77dc8ca7ea1967c413bdbf7253483	2026-08-05	docs: refine documentation unification preview
41475d7c3b3103f8532f280bcbdaca1ab58c0d7e	2026-08-06	docs: 内容迁移执行——正式文档归并到对应栏目、过程性总结删除、插件文档去重
cd96f7b6aa5f659449f4bbd24805fee7c6949edd	2026-08-13	fix(peaks): fall_time 改为 50%-90% 累计面积分位数定义
e013baeba30a19839f0ef6c3403a96c0cba0d15a	2026-08-17	fix: deduplicate peak channel waveforms
87cc00966a746f097864235a04be385dcfa29d17	2026-08-17	perf: route peaklet waveforms through numba canonical path
804cd5c89ba6f947f642e7fcbaf862642769cc2c	2026-08-18	docs: document peaklet waveform numba routing
a19eb5091e214c8396f0f617c6ad5df39942aa2d	2026-08-18	perf: route hit merged fallback through numba
7bc757744d7d0e1fca1597557975b627ba6dd5ca	2026-08-18	perf: optimize merged feature channel hot paths
8809771355914e9517da708298a5d435956e6641	2026-08-18	perf: streamline peaklet channel aggregation
66159be6c8c51a3ca2897206493d21ce157910db	2026-08-18	perf: optimize peaklet channel CSR path
b6f4cfc84ae5fe6912ffa15a103336bef856404e	2026-08-19	perf: bound peaklet pipeline memory
2394893a5599e6b6ba7f28e56a48b9e8277f585f	2026-08-19	perf: optimize records-backed peaklet cold paths
efb643b8b3d275ef220654987a16b228a3b7a66a	2026-08-19	docs: complete site documentation migration
0bc56668c0d2ebf81fc391287fb0097cd94b49f7	2026-08-19	perf: finalize quality gates
08b0f06bc0b99e3f023c2b22a3ebe53a7e4272f1	2026-08-19	docs: strengthen documentation quality gates
b7a24b243145c813467b7f0f1f2526dd0b64bb6a	2026-08-26	chore(migration): move graph workflow to standalone repository
b19df8b3e2a1931856280b2e7b9349f7bbf04f23	2026-08-26	refactor: unify 2d position dashboard
91aba88f32514939d65b301a2178eeb94fa33544	2026-08-26	docs: improve plugin reference quality
dd1665679f32aef2a092e931ace06e265071dafe	2026-08-26	feat: expose hit queries through peak accessor
797eb33a0311f803d2c9eee1ec1be158ab6fc603	2026-08-26	docs: update peak channel API guides
132bf8c22ed36fe0d1b4f29371aae083f1661931	2026-08-26	docs: remove redundant peak plotting guide
714bb2ec4883a01e39b4b27891b69ee34a057ecc	2026-08-26	docs: fold peak classification config into plugin reference
9ea47430db490b3181fce1ba1a252eea0b271eb6	2026-08-26	docs: remove redundant hit threshold guide
